system_id,seller_system_id,resource,price,amount,issued,delivery,status
0,8,iron,18.18,1,0,4,resolved
0,7,uranium,268.79,1,0,4,resolved
1,0,zinc,19.11,1,0,2,resolved
1,7,uranium,268.79,1,0,4,resolved
2,8,iron,18.18,1,0,2,resolved
2,7,uranium,268.79,1,0,1,resolved
3,0,zinc,19.11,1,0,1,resolved
3,7,uranium,268.79,1,0,4,resolved
4,8,iron,18.18,1,0,4,resolved
4,7,uranium,268.79,1,0,1,resolved
5,0,zinc,19.11,1,0,3,resolved
5,7,uranium,268.79,1,0,3,resolved
6,7,uranium,268.79,1,0,4,resolved
7,8,iron,18.18,1,0,4,resolved
7,0,zinc,19.11,1,0,5,resolved
8,7,uranium,268.79,1,0,2,resolved
9,7,uranium,268.79,1,0,5,resolved
10,7,uranium,268.79,1,0,2,resolved
11,8,iron,18.18,1,0,4,resolved
11,0,zinc,19.11,1,0,5,resolved
12,8,iron,18.18,1,0,3,resolved
13,0,zinc,19.11,1,0,4,resolved
13,7,uranium,268.79,1,0,3,resolved
14,0,zinc,19.11,1,0,4,resolved
0,8,iron,18.18,1,1,4,resolved
0,7,uranium,268.79,1,1,2,resolved
1,0,zinc,19.11,1,1,5,resolved
1,7,uranium,268.79,1,1,6,resolved
2,8,iron,18.18,1,1,4,resolved
2,7,uranium,268.79,1,1,2,resolved
3,0,zinc,19.11,1,1,2,resolved
3,7,uranium,268.79,1,1,3,resolved
4,8,iron,18.18,1,1,6,resolved
4,7,uranium,268.79,1,1,5,resolved
5,0,zinc,19.11,1,1,3,resolved
5,7,uranium,268.79,1,1,2,resolved
6,7,uranium,268.79,1,1,5,resolved
7,8,iron,18.18,1,1,2,resolved
7,0,zinc,19.11,1,1,3,resolved
8,7,uranium,268.79,1,1,2,resolved
9,7,uranium,268.79,1,1,5,resolved
10,7,uranium,268.79,1,1,5,resolved
11,8,iron,18.18,1,1,6,resolved
11,0,zinc,19.11,1,1,4,resolved
12,8,iron,18.18,1,1,5,resolved
13,0,zinc,19.11,1,1,2,resolved
13,7,uranium,268.79,1,1,2,resolved
14,0,zinc,19.11,1,1,2,resolved
0,8,iron,18.18,1,2,7,resolved
0,7,uranium,268.79,1,2,4,resolved
1,0,zinc,19.11,1,2,5,resolved
1,7,uranium,268.79,1,2,7,resolved
2,8,iron,18.18,1,2,3,resolved
2,7,uranium,268.79,1,2,7,resolved
3,0,zinc,19.11,1,2,4,resolved
3,7,uranium,268.79,1,2,3,resolved
4,8,iron,18.18,1,2,5,resolved
4,7,uranium,268.79,1,2,6,resolved
5,0,zinc,19.11,1,2,6,resolved
5,7,uranium,268.79,1,2,3,resolved
6,7,uranium,268.79,1,2,7,resolved
7,8,iron,18.18,1,2,7,resolved
7,0,zinc,19.11,1,2,4,resolved
8,7,uranium,268.79,1,2,4,resolved
9,7,uranium,268.79,1,2,7,resolved
10,7,uranium,268.79,1,2,4,resolved
11,8,iron,18.18,1,2,5,resolved
11,0,zinc,19.11,1,2,6,resolved
12,8,iron,18.18,1,2,5,resolved
13,0,zinc,19.11,1,2,6,resolved
13,7,uranium,268.79,1,2,6,resolved
14,0,zinc,19.11,1,2,6,resolved
0,8,iron,18.18,1,3,5,resolved
0,7,uranium,268.79,1,3,6,resolved
1,0,zinc,19.11,1,3,7,resolved
1,7,uranium,268.79,1,3,7,resolved
2,8,iron,18.18,1,3,5,resolved
2,7,uranium,268.79,1,3,7,resolved
3,0,zinc,19.11,1,3,8,resolved
3,7,uranium,268.79,1,3,8,resolved
4,8,iron,18.18,1,3,7,resolved
4,7,uranium,268.79,1,3,5,resolved
5,0,zinc,19.11,1,3,7,resolved
5,7,uranium,268.79,1,3,6,resolved
6,7,uranium,268.79,1,3,5,resolved
7,8,iron,18.18,1,3,7,resolved
7,0,zinc,19.11,1,3,5,resolved
8,7,uranium,268.79,1,3,4,resolved
9,7,uranium,268.79,1,3,8,resolved
10,7,uranium,268.79,1,3,7,resolved
11,8,iron,18.18,1,3,8,resolved
11,0,zinc,19.11,1,3,8,resolved
12,8,iron,18.18,1,3,4,resolved
13,0,zinc,19.11,1,3,8,resolved
13,7,uranium,268.79,1,3,8,resolved
14,0,zinc,19.11,1,3,8,resolved
